"whale_id","iteration","sim_id","step_id","choice_id","dTime","long","lat","used","location_type"
"254025_0",1,"254025_0_crw_001",1,"254025_0_20240516T110000",2024-05-16 11:00:00,-122.2790898,36.35725728,0,"available_crw"
"254025_0",1,"254025_0_crw_001",2,"254025_0_20240516T170000",2024-05-16 17:00:00,-122.503110536649,36.4652592914456,0,"available_crw"
"254025_0",1,"254025_0_crw_001",3,"254025_0_20240516T230000",2024-05-16 23:00:00,-122.627727605021,36.4114939431976,0,"available_crw"
"254025_0",1,"254025_0_crw_001",4,"254025_0_20240517T050000",2024-05-17 05:00:00,-122.69312390943,36.4392532647686,0,"available_crw"
"254025_0",1,"254025_0_crw_001",5,"254025_0_20240517T110000",2024-05-17 11:00:00,-122.72727817119,36.4872466253393,0,"available_crw"
"254025_0",1,"254025_0_crw_001",6,"254025_0_20240517T170000",2024-05-17 17:00:00,-122.923293611831,36.5478398928922,0,"available_crw"
"254025_0",1,"254025_0_crw_001",7,"254025_0_20240517T230000",2024-05-17 23:00:00,-122.893215992839,36.5248802413217,0,"available_crw"
"254025_0",1,"254025_0_crw_001",8,"254025_0_20240518T050000",2024-05-18 05:00:00,-122.999893111436,36.4369616079785,0,"available_crw"
"254025_0",1,"254025_0_crw_001",9,"254025_0_20240518T110000",2024-05-18 11:00:00,-123.052871040654,36.4786838388311,0,"available_crw"
"254025_0",1,"254025_0_crw_001",10,"254025_0_20240518T170000",2024-05-18 17:00:00,-123.162672535046,36.5856583173138,0,"available_crw"
"254025_0",1,"254025_0_crw_001",11,"254025_0_20240518T230000",2024-05-18 23:00:00,-123.219239917487,36.636147770966,0,"available_crw"
"254025_0",1,"254025_0_crw_001",12,"254025_0_20240519T050000",2024-05-19 05:00:00,-123.185177726333,36.7248540436801,0,"available_crw"
"254025_0",1,"254025_0_crw_001",13,"254025_0_20240519T110000",2024-05-19 11:00:00,-123.176192820278,36.8984263026184,0,"available_crw"
"254025_0",1,"254025_0_crw_001",14,"254025_0_20240519T170000",2024-05-19 17:00:00,-123.16815289365,36.9468035418469,0,"available_crw"
"254025_0",1,"254025_0_crw_001",15,"254025_0_20240519T230000",2024-05-19 23:00:00,-123.186911634392,36.9369162855385,0,"available_crw"
"254025_0",1,"254025_0_crw_001",16,"254025_0_20240520T050000",2024-05-20 05:00:00,-123.113049141891,36.8426831363625,0,"available_crw"
"254025_0",1,"254025_0_crw_001",17,"254025_0_20240520T110000",2024-05-20 11:00:00,-123.014767905035,36.7297381427727,0,"available_crw"
"254025_0",1,"254025_0_crw_001",18,"254025_0_20240520T170000",2024-05-20 17:00:00,-123.082462669402,36.53529060028,0,"available_crw"
"254025_0",1,"254025_0_crw_001",19,"254025_0_20240520T230000",2024-05-20 23:00:00,-123.072335455453,36.5087901989037,0,"available_crw"
"254025_0",1,"254025_0_crw_001",20,"254025_0_20240521T050000",2024-05-21 05:00:00,-123.033181539538,36.5077160977087,0,"available_crw"
"254025_0",1,"254025_0_crw_001",21,"254025_0_20240521T110000",2024-05-21 11:00:00,-122.943155020482,36.3729258045928,0,"available_crw"
"254025_0",1,"254025_0_crw_001",22,"254025_0_20240521T170000",2024-05-21 17:00:00,-123.074140480147,36.5113658489531,0,"available_crw"
"254025_0",1,"254025_0_crw_001",23,"254025_0_20240521T230000",2024-05-21 23:00:00,-123.036529418749,36.4863588128783,0,"available_crw"
"254025_0",1,"254025_0_crw_001",24,"254025_0_20240522T050000",2024-05-22 05:00:00,-123.170835439164,36.6089270453247,0,"available_crw"
"254025_0",1,"254025_0_crw_001",25,"254025_0_20240522T110000",2024-05-22 11:00:00,-123.209727074192,36.7450694528506,0,"available_crw"
"254025_0",1,"254025_0_crw_001",26,"254025_0_20240522T170000",2024-05-22 17:00:00,-123.194753503921,36.8704866882637,0,"available_crw"
"254025_0",1,"254025_0_crw_001",27,"254025_0_20240522T230000",2024-05-22 23:00:00,-123.22987606188,37.0419027570872,0,"available_crw"
"254025_0",1,"254025_0_crw_001",28,"254025_0_20240523T050000",2024-05-23 05:00:00,-123.169063898148,37.0669334162933,0,"available_crw"
"254025_0",1,"254025_0_crw_001",29,"254025_0_20240523T110000",2024-05-23 11:00:00,-123.189914792886,37.073664203678,0,"available_crw"
"254025_0",1,"254025_0_crw_001",30,"254025_0_20240523T170000",2024-05-23 17:00:00,-123.199429656104,36.9976888823428,0,"available_crw"
"254025_0",1,"254025_0_crw_001",31,"254025_0_20240523T230000",2024-05-23 23:00:00,-123.238113529053,37.0754807625222,0,"available_crw"
"254025_0",1,"254025_0_crw_001",32,"254025_0_20240524T050000",2024-05-24 05:00:00,-123.196298904217,37.1248879226628,0,"available_crw"
"254025_0",1,"254025_0_crw_001",33,"254025_0_20240524T110000",2024-05-24 11:00:00,-123.007665748498,37.1412682198488,0,"available_crw"
"254025_0",1,"254025_0_crw_001",34,"254025_0_20240524T170000",2024-05-24 17:00:00,-122.969346368446,37.0994334576002,0,"available_crw"
"254025_0",1,"254025_0_crw_001",35,"254025_0_20240524T230000",2024-05-24 23:00:00,-122.958056673156,37.0769443629002,0,"available_crw"
